"orderDate;city;province;product;qty;price"
"2022-10-17;Jakarta Selatan;DKI Jakarta;SUSU_J;10;7400"
"2022-10-24;Jakarta Selatan;DKI Jakarta;SUSU_R;2;6040"
"2022-11-03;Jakarta Utara;DKI Jakarta;SUSU_C;8;10450"
"2022-08-19;Jakarta Barat;DKI Jakarta;SUSU_A;4;2050"
"2022-10-16;Jakarta Timur;DKI Jakarta;SUSU_R;2;44750"
"2022-07-16;Jakarta Utara;DKI Jakarta;SUSU_C;4;5200"
"2022-11-04;Jakarta Barat;DKI Jakarta;SUSU_C;1;14650"
"2022-09-26;Surakarta;Jawa Tengah;SUSU_S;2;2050"
"2022-12-30;Jakarta Barat;DKI Jakarta;SUSU_S;32;4500"
"2022-11-24;Tangerang;Banten;SUSU_H;2;1490"
"2022-08-19;Denpasar;Bali;SUSU_R;6;10450"
"2022-09-19;Jakarta Utara;DKI Jakarta;SUSU_H;1;6040"
"2022-10-29;Tangerang;Banten;SUSU_L;3;22000"
"2022-10-21;Jakarta Utara;DKI Jakarta;SUSU_P;4;17450"
"2022-12-18;Jakarta Selatan;DKI Jakarta;SUSU_A;12;6950"
"2022-08-05;Tangerang;Banten;SUSU_S;1;9040"
"2022-07-04;Surabaya;Jawa Timur;SUSU_J;10;7400"
"2022-11-11;Surakarta;Jawa Tengah;SUSU_L;1;17480"
"2022-07-07;Jakarta Pusat;DKI Jakarta;SUSU_C;4;13950"
"2022-12-13;Bogor;Jawa Barat;SUSU_R;6;7400"
"2022-09-11;Jakarta Selatan;DKI Jakarta;SUSU_S;12;5200"
"2022-10-31;Bandung;Jawa Barat;SUSU_W;24;1130"
"2022-07-10;Jakarta Pusat;DKI Jakarta;SUSU_J;10;7400"
"2022-10-17;Yogyakarta;Yogyakarta;SUSU_H;6;10450"
"2022-10-07;Bogor;Jawa Barat;SUSU_C;12;5200"
"2022-07-04;Jakarta Selatan;DKI Jakarta;SUSU_S;12;330"
"2022-10-15;Bogor;Jawa Barat;SUSU_W;96;6070"
"2022-11-26;Bandung;Jawa Barat;SUSU_J;1;2190"
"2022-11-19;Jakarta Utara;DKI Jakarta;SUSU_B;10;1490"
"2022-11-22;Jakarta Selatan;DKI Jakarta;SUSU_S;18;11500"
"2022-07-25;Jakarta Timur;DKI Jakarta;SUSU_P;36;790"
"2022-11-01;Malang;Jawa Timur;SUSU_J;30;6390"
"2022-10-22;Jakarta Pusat;DKI Jakarta;SUSU_S;3;17450"
"2022-09-09;Jakarta Selatan;DKI Jakarta;SUSU_P;30;260"
"2022-12-02;Jakarta Barat;DKI Jakarta;SUSU_J;4;7400"
"2022-12-29;Bandung;Jawa Barat;SUSU_S;2;5200"
"2022-11-12;Jakarta Timur;DKI Jakarta;SUSU_W;4;3030"
"2022-10-01;Yogyakarta;Yogyakarta;SUSU_R;4;13250"
"2022-12-19;Jakarta Selatan;DKI Jakarta;SUSU_S;4;13250"
"2022-11-11;Tangerang;Banten;SUSU_B;3;4500"
"2022-11-11;Jakarta Utara;DKI Jakarta;SUSU_L;10;5900"
"2022-08-18;Jakarta Pusat;DKI Jakarta;SUSU_P;1;1130"
"2022-09-05;Bekasi;Jawa Barat;SUSU_S;12;6950"
"2022-11-14;Depok;Jawa Barat;SUSU_P;3;6950"
"2022-11-21;Jakarta Barat;DKI Jakarta;SUSU_H;8;17450"
"2022-10-22;Surabaya;Jawa Timur;SUSU_W;12;10450"
"2022-12-03;Jakarta Utara;DKI Jakarta;SUSU_R;12;4500"
"2022-10-25;Bekasi;Jawa Barat;SUSU_H;1;2400"
"2022-12-10;Bekasi;Jawa Barat;SUSU_S;2;17450"
"2022-07-05;Jakarta Selatan;DKI Jakarta;SUSU_L;1;29000"
"2022-12-10;Jakarta Utara;DKI Jakarta;SUSU_C;10;330"
"2022-12-05;Surakarta;Jawa Tengah;SUSU_C;1;11640"
"2022-12-29;Bekasi;Jawa Barat;SUSU_C;12;1590"
"2022-10-31;Jakarta Timur;DKI Jakarta;SUSU_A;1;13250"
"2022-10-10;Malang;Jawa Timur;SUSU_A;12;4500"
"2022-10-22;Surakarta;Jawa Tengah;SUSU_B;6;10450"
"2022-10-16;Jakarta Utara;DKI Jakarta;SUSU_B;10;6950"
"2022-12-12;Jakarta Selatan;DKI Jakarta;SUSU_A;1;13250"
"2022-10-08;Yogyakarta;Yogyakarta;SUSU_A;2;31440"
"2022-11-29;Jakarta Selatan;DKI Jakarta;SUSU_H;2;2890"
"2022-10-11;Jakarta Selatan;DKI Jakarta;SUSU_A;4;9040"
"2022-07-16;Tangerang;Banten;SUSU_H;5;2400"
"2022-09-06;Bekasi;Jawa Barat;SUSU_L;20;5900"
"2022-12-26;Jakarta Timur;DKI Jakarta;SUSU_P;12;7470"
"2022-12-11;Bogor;Jawa Barat;SUSU_H;72;3760"
"2022-10-23;Jakarta Utara;DKI Jakarta;SUSU_C;1;7400"
"2022-11-27;Bogor;Jawa Barat;SUSU_P;96;8840"
"2022-10-03;Jakarta Selatan;DKI Jakarta;SUSU_H;2;17450"
"2022-12-22;Jakarta Pusat;DKI Jakarta;SUSU_H;1;4500"
"2022-08-05;Tangerang;Banten;SUSU_A;4;13250"
"2022-08-13;Jakarta Selatan;DKI Jakarta;SUSU_W;4;13250"
"2022-11-05;Bogor;Jawa Barat;SUSU_H;4;14650"
"2022-10-06;Jakarta Pusat;DKI Jakarta;SUSU_B;2;59450"
"2022-07-26;Jakarta Selatan;DKI Jakarta;SUSU_S;2;22000"
"2022-08-11;Jakarta Barat;DKI Jakarta;SUSU_P;6;9040"
"2022-09-25;Denpasar;Bali;SUSU_R;12;5900"
"2022-10-08;Jakarta Pusat;DKI Jakarta;SUSU_P;2;7470"
"2022-12-17;Jakarta Selatan;DKI Jakarta;SUSU_S;2;7400"
"2022-10-27;Malang;Jawa Timur;SUSU_C;10;330"
"2022-09-22;Bogor;Jawa Barat;SUSU_R;1;17450"
"2022-10-30;Tangerang;Banten;SUSU_W;12;22000"
"2022-12-04;Bogor;Jawa Barat;SUSU_H;1;7470"
"2022-12-27;Jakarta Timur;DKI Jakarta;SUSU_S;3;14650"
"2022-07-02;Jakarta Utara;DKI Jakarta;SUSU_H;12;5900"
"2022-11-29;Jakarta Selatan;DKI Jakarta;SUSU_A;1;2050"
"2022-09-03;Yogyakarta;Yogyakarta;SUSU_B;8;330"
"2022-11-06;Surakarta;Jawa Tengah;SUSU_A;1;20950"
